pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
SG,23,UTA,55,419,7.6,.470,.055,.193,3.5,8.3,6.0,13.9,1.6,0.5,18.2,18.3,,-0.4,0.3,-0.1,-0.008,,-4.3,-1.5,-5.8,-0.4
SF,26,DEN,80,1469,10.6,.546,.039,.676,4.6,10.2,7.3,19.0,2.0,0.7,21.5,13.0,,1.2,0.7,1.9,.062,,-2.4,0.7,-1.6,0.1
PG,22,DAL,82,1712,10.5,.475,.058,.217,3.6,8.1,5.8,17.7,2.7,0.7,18.3,14.7,,-0.3,1.5,1.3,.035,,-2.7,0.9,-1.7,0.1
PF,23,ATL,68,1135,10.3,.539,.017,.439,9.5,17.8,13.6,5.7,1.8,1.9,18.9,13.3,,0.5,1.6,2.1,.090,,-2.0,1.6,-0.4,0.5
PF,33,SEA,79,1153,9.5,.534,.017,.329,4.9,16.7,10.8,11.1,1.0,0.8,16.1,11.6,,0.7,1.1,1.8,.074,,-2.8,0.7,-2.0,0.0
PF,38,HOU,81,994,10.3,.450,.005,.339,9.5,18.7,14.1,9.1,0.7,1.5,15.5,21.0,,-0.8,1.0,0.2,.010,,-4.4,-0.7,-5.1,-0.8
C,28,SEA,43,253,8.9,.507,.000,.280,8.6,19.2,13.9,6.7,1.0,4.0,18.8,11.4,,0.0,0.3,0.3,.061,,-4.1,2.1,-2.0,0.0
PG,28,BOS,78,2088,14.7,.570,.079,.247,3.8,4.1,4.0,19.8,2.7,0.4,16.8,18.8,,2.7,2.6,5.3,.121,,1.9,-0.9,1.0,1.6
SF,24,CHI,78,1577,10.1,.499,.051,.361,6.2,8.8,7.5,10.4,1.5,1.1,13.2,15.1,,0.6,1.3,2.0,.060,,-1.9,0.3,-1.5,0.2
PG,26,PHO,29,512,4.5,.355,.038,.558,3.6,11.5,7.5,11.1,3.7,1.2,37.0,8.2,,-0.8,0.7,-0.1,-0.008,,-5.0,4.0,-1.0,0.1
